Class,Text
yes,"               Awful. I felt like I wanted to die, it was a severely bad week. It would likely have killed weak or elderly.  Lots have died / been harmed - very tragic. That is why folks are passionate / scared about flu and the vaxx. I wont sue if I die from the flu, you can count on that. ;-)"
no,"   if you haven't already, you need to dig into this, he went public with info on the flu epidemic being c…"
no,"  6 Ways to Use #Peppermint Oil During #Allergy, #Cold and #Flu Season  "
no,"  It seemed like flu but then it all happened so fast. If you have ANY suspicion at all, ask to be checked for Sepsis. 5 m…"
yes,  ....time to head home!!  Thank you  for taking care of me... and my flu! Lol!   #Emirates 
yes,this stomach flu is gonna be the death of me
no,  Are you struggling to get over the flu this season? Vitamin C IVs are a great way to give your body the boost it needs to help fight off bacteria’s and viruses. #… 
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
no,  Another Scientist found mysteriously dead after he warned that the recent flu epidemic was caused by the flu vaccine.…
no,With cash and a call for new ideas Bill Gates tries to boost the campaign for a universal flu vaccine: Bill Gates announces new effort to boost the campaign to develop a universal flu vaccine. 
no,"  BREAKING: With cash and a call for new ideas, Bill Gates tries to boost the campaign for a universal flu vaccine "
yes, can't believe within 36 hours of my 'mum flu' comment i'm suffering with 'man flu'  Can i still blame you?  Computer viruses and all that
yes,"This flu is the worst. My asthma is acting up big time and my sinuses, well they are having a field day.   "
no,"Ndine flu, ndi broke. LOL ndim.  Nothing is exquisite "
no,  NHS 'management' find winter a shock and surprise every year And so fail to plan (=manage) for it.  In any other sphere t…
no,  I don't think it's a mere coincidence that Timothy Cunningham spoke up about flu shots being dangerous in the midst of…
no,The flu shot feels like I got shot in the arm. 10/10 don’t recommend.
no,Higher prices help foie gras farmers overcome bird flu crises 
no,"cianna : ""you're not going to find a boy who looks like he has the flu and will treat you right.""   where is the lie"
no,"  43% of respondents to a YouGov poll rated ""Somewhat"" or ""Very accurate"" the statement: ""#Vaccines can give you the flu"".…"
no,The  reports that a second wave of #flu virus B is happening now. 
yes,how did i literally become deathly ill with the flu in mid april
yes,Flu will be the death of me I just need me some TLC 
no, Congrats on your 250 tweet!   
no,  BREAKING: Bill Gates announces a contest to see who can bring the world  back into balance according to the Georgia Guidestones…
yes,Diagnosed with strep AND THE FLU!  Yay me 
